track,artist,seeds,spotify_id,genre,acousticness,danceability,energy,liveness,loudness,tempo,valence
What a Life,Juliana Hatfield,"['aggressive', 'angry', 'acerbic']",0a6EmpsSuVuOq2zADXmsIj,rock,0.0142,0.201,0.947,0.235,-5.841,174.133,0.453
Shout,Michael Jackson,"['aggressive', 'angry']",2ToxqtOk6q4ghdClECUJyW,pop,0.00215,0.31,0.848,0.309,-7.566,187.893,0.63
Revenge,White Zombie,['aggressive'],7k4tdQkDjGNAVlBrq1WKou,metal,0.0126,0.301,0.901,0.328,-8.918,148.275,0.201
Judge Yr'self,Manic Street Preachers,"['aggressive', 'explosive', 'volatile', 'powerful']",3pBGxX1RJPscGEJasqyIlf,rock,0.00197,0.318,0.91,0.173,-2.693,150.496,0.259
Tired n' Lonely,Roadrunner United,['aggressive'],0PfC26OqXoy8JPmLgExD1Z,metal,6.86E-05,0.473,0.983,0.0562,-3.573,135.048,0.33
Ratmouth,White Zombie,['aggressive'],25Q6sQbwgrsCYYugn0Ymrb,metal,3.64E-05,0.181,0.945,0.075,-10.114,169.533,0.141
Terror,My Ruin,"['aggressive', 'angry', 'bitter']",6SEWg79MIOSWXaMIOGWdwm,metal,0.00801,0.744,0.675,0.137,-7.63,116.016,0.668
Acid Flesh,White Zombie,['aggressive'],4VPMHiv92EMJ9iXytDtsAg,metal,0.00795,0.4,0.874,0.157,-9.628,130.574,0.648
Dust,Crystal Antlers,['aggressive'],64rqZUfE1KIBxvojczY4a9,rock,0.00954,0.197,0.855,0.204,-4.193,101.633,0.566
Man Without Skin,Boy Hits Car,['aggressive'],0kAsRUT4jKceWpt2Sptxmv,rock,0.121,0.324,0.897,0.235,-5.811,89.674,0.535
Love To Hate You,Die Happy,['aggressive'],6MbKijWTZl2xsqYcsvYrbM,rock,0.000587,0.532,0.989,0.635,-2.168,99.995,0.472
Power Hungry,White Zombie,['aggressive'],4kL3MbI7Wg1QNEaRJ5eE7J,metal,0.067,0.276,0.921,0.715,-9.147,137.011,0.0964
Shack Of Hate,White Zombie,['aggressive'],5LHPuu9SlkeSD4YjjbESD3,metal,9.43E-06,0.173,0.956,0.103,-9.065,90.775,0.0902
Gentleman Junkie,White Zombie,['aggressive'],4rmLywZhPHxva2E0UwvrQS,metal,0.00117,0.493,0.851,0.103,-10.102,163.001,0.829
Godslayer,White Zombie,['aggressive'],26KLiQaxNDvqi74gPBPmHn,metal,0.282,0.16,0.854,0.428,-9.752,83.047,0.223
Streets Of New York,Kool G Rap,"['aggressive', 'lyrical']",5hykhKQH1EL5jW2UYZ615w,hip-hop,0.0102,0.66,0.824,0.088,-7.162,182.072,0.812
Everytime I See You Around,Paul Stanley,['aggressive'],5XEjM3lUZkIazDPGsNOYb0,rock,0.0498,0.598,0.741,0.0818,-4.026,96.354,0.656
Gimme Noise,The Replacements,['aggressive'],4T5yhhpJDfLdIq1k9RAfmx,rock,0.0199,0.259,0.983,0.213,-7.36,202.216,0.0611
Vexation,Crystal Antlers,['aggressive'],5WOEVXzNmMeaY8YE4YHevE,indie,2.86E-05,0.0773,0.904,0.232,-4.854,174.272,0.301
"Ratfinks, Suicide Tanks And Cannibal Girls",White Zombie,['aggressive'],6PDBcqHNIg5cOojcCkhxYM,soundtrack,0.000173,0.561,0.958,0.0479,-5.612,100.01,0.163
Strong Reaction,Pegboy,['aggressive'],1HZXGK0yyl1ygZn0wsdVoL,indie,0.000452,0.376,0.936,0.159,-8.241,95.359,0.612
Schüchtern,Knorkator,['aggressive'],1c98bxJgAiRzd81aRrQ56t,metal,0.00222,0.37,0.961,0.89,-5.48,160.16,0.188
From da Back,Three 6 Mafia,"['aggressive', 'sexual']",1V8OMVIperjSUg5UNNhsyj,hip-hop,0.0834,0.758,0.799,0.112,-3.159,160.049,0.697
Super Ok,Zolof The Rock & Roll Destroyer,['aggressive'],5AAOuEwACzcPCWyqfKSrTM,indie,9.37E-05,0.536,0.547,0.277,-4.48,140.599,0.356
Tentacles,Crystal Antlers,['aggressive'],1rnuSgEXG1Wmrtnu5K1aAc,rock,0.00618,0.261,0.979,0.115,-3.176,119.764,0.0863
